Timestamp,Pair,Rate,High,Low,Daily_Range,Close,EMA_10,EMA_50,RSI,RSI_Category,ATR,Support,Resistance
3/12/2025,EUR/USD,1.09111,1.09314,1.08754,0.0056,1.08857,1.074038343,1.048884529,73.6682067,Overbought,0.009163071,1.03596,1.09472
3/13/2025,EUR/USD,1.08856,1.08972,1.08222,0.0075,1.0851,1.076049553,1.050304744,69.90465024,Neutral,0.00904428,1.03596,1.09472
3/14/2025,EUR/USD,1.08515,1.09127,1.08304,0.00823,1.08765,1.078158725,1.051769263,71.07414928,Overbought,0.008986117,1.03596,1.09472
3/17/2025,EUR/USD,1.088,1.09297,1.0868,0.00617,1.09212,1.080697139,1.053351645,73.05109023,Overbought,0.008784966,1.03596,1.09472
3/18/2025,EUR/USD,1.09214,1.09547,1.08921,0.00626,1.09442,1.083192204,1.054962169,74.03444485,Overbought,0.008604611,1.03596,1.09547
3/19/2025,EUR/USD,1.09436,1.0946,1.08603,0.00857,1.09033,1.084489985,1.056349143,69.19886987,Neutral,0.008602139,1.03596,1.09547
3/20/2025,EUR/USD,1.09045,1.09173,1.08143,0.0103,1.08539,1.084653624,1.057488,63.78024822,Neutral,0.008723415,1.03883,1.09547
3/21/2025,EUR/USD,1.08535,1.08613,1.07962,0.00651,1.08121,1.084027511,1.058418274,59.53232475,Neutral,0.008565314,1.04708,1.09547
3/24/2025,EUR/USD,1.08168,1.08582,1.07813,0.00769,1.07995,1.083286145,1.059262656,58.27243486,Neutral,0.008502791,1.06017,1.09547
3/25/2025,EUR/USD,1.07991,1.08301,1.07765,0.00536,1.07908,1.082521392,1.060039807,57.36962733,Neutral,0.008278306,1.07655,1.09547
3/26/2025,EUR/USD,1.07921,1.0803,1.07342,0.00688,1.07362,1.080902957,1.060572363,51.93182222,Neutral,0.008178427,1.07342,1.09547
3/27/2025,EUR/USD,1.07365,1.08212,1.07327,0.00885,1.07974,1.08069151,1.061324035,56.86691778,Neutral,0.008226397,1.07327,1.09547
3/28/2025,EUR/USD,1.07971,1.08448,1.07644,0.00804,1.08237,1.08099669,1.062149367,58.82340643,Neutral,0.008213083,1.07327,1.09547
3/31/2025,EUR/USD,1.08144,1.08494,1.07837,0.00657,1.08184,1.081150019,1.062921549,58.24999344,Neutral,0.00809572,1.07327,1.09547
4/1/2025,EUR/USD,1.08181,1.08301,1.07779,0.00522,1.07929,1.080811834,1.063563449,55.44931938,Neutral,0.007890311,1.07327,1.09547
4/2/2025,EUR/USD,1.07929,1.09243,1.078,0.01443,1.08264,1.081144228,1.064311549,58.28677921,Neutral,0.008357432,1.07327,1.09547
4/3/2025,EUR/USD,1.08262,1.11466,1.08046,0.0342,1.10505,1.085490732,1.065909135,71.40649663,Overbought,0.010203329,1.07327,1.11466
4/4/2025,EUR/USD,1.10509,1.11076,1.09242,0.01834,1.09573,1.087352417,1.067078581,62.58967255,Neutral,0.01078452,1.07327,1.11466
4/7/2025,EUR/USD,1.09148,1.105,1.09007,0.01493,1.09112,1.088037432,1.068021382,58.7270495,Neutral,0.011080626,1.07327,1.11466
4/8/2025,EUR/USD,1.09112,1.09918,1.08881,0.01037,1.09565,1.089421535,1.069104857,61.25723422,Neutral,0.011029867,1.07327,1.11466
4/9/2025,EUR/USD,1.09564,1.10952,1.0913,0.01822,1.09503,1.090441256,1.070121529,60.70868487,Neutral,0.011543448,1.07327,1.11466
4/10/2025,EUR/USD,1.09497,1.12414,1.09426,0.02988,1.11888,1.095611937,1.072033626,71.34051597,Overbought,0.012853202,1.07327,1.12414
4/11/2025,EUR/USD,1.11918,1.14736,1.11918,0.02818,1.13586,1.102929767,1.074536621,76.26475577,Overbought,0.013969401,1.07327,1.14736
4/14/2025,EUR/USD,1.13177,1.14246,1.12956,0.0129,1.13522,1.108800718,1.076916361,75.73654978,Overbought,0.013893016,1.07327,1.14736
4/15/2025,EUR/USD,1.13531,1.13789,1.12638,0.01151,1.12812,1.112313315,1.078924347,69.94863987,Neutral,0.0137228,1.07327,1.14736
4/16/2025,EUR/USD,1.12806,1.14127,1.12805,0.01322,1.1397,1.117292712,1.081307706,73.50506737,Overbought,0.013686886,1.07644,1.14736
4/17/2025,EUR/USD,1.13965,1.14091,1.13349,0.00742,1.13668,1.120817674,1.083479169,71.14050993,Overbought,0.013239251,1.07779,1.14736
4/18/2025,EUR/USD,1.1367,1.1398,1.13576,0.00404,1.13913,1.124147187,1.085661554,71.92942053,Overbought,0.012582162,1.07779,1.14736
4/21/2025,EUR/USD,1.14072,1.15733,1.139,0.01833,1.15085,1.129002244,1.088217964,75.39453038,Overbought,0.012992722,1.078,1.15733
4/22/2025,EUR/USD,1.15085,1.15473,1.13613,0.0186,1.13623,1.130316382,1.090100789,64.67011332,Neutral,0.013393242,1.08046,1.15733
4/23/2025,EUR/USD,1.13651,1.144,1.13072,0.01328,1.13236,1.130687949,1.091758013,62.14998219,Neutral,0.013385153,1.08881,1.15733
4/24/2025,EUR/USD,1.13223,1.1398,1.13194,0.00786,1.13857,1.132121049,1.093593777,64.53805409,Neutral,0.012990499,1.08881,1.15733
4/25/2025,EUR/USD,1.13849,1.13912,1.13155,0.00757,1.1364,1.13289904,1.095272452,63.04127026,Neutral,0.012603321,1.08881,1.15733
